loc_url,latitude,longitude
https://www.instagram.com/explore/locations/108498754790331/,0,0
https://www.instagram.com/explore/locations/303526563885357/,22.3205759,114.2229965
https://www.instagram.com/explore/locations/114311749957813/,0,0
https://www.instagram.com/explore/locations/357651654703515/,22.334791123539,114.20728696428
https://www.instagram.com/explore/locations/357651654703515/,22.334791123539,114.20728696428
https://www.instagram.com/explore/locations/223145092/,0,0
https://www.instagram.com/explore/locations/223145092/,0,0
nan,0,0
https://www.instagram.com/explore/locations/295142437614176/,0,0
https://www.instagram.com/explore/locations/530243747177494/,0,0
https://www.instagram.com/explore/locations/574341840/,0,0
nan,0,0
https://www.instagram.com/explore/locations/739699659/,0,0
https://www.instagram.com/explore/locations/241175141/,22.3122,114.168
https://www.instagram.com/explore/locations/242282523023920/,22.31965395552,114.17488664389
https://www.instagram.com/explore/locations/501732708/,22.312534800416,114.17841973692
https://www.instagram.com/explore/locations/8199519/,22.312388415324,114.17841798732
nan,0,0
https://www.instagram.com/explore/locations/264727780/,55.4908,21.2547
https://www.instagram.com/explore/locations/322827334/,22.320593,114.199606
